",features,Coefficients"
"0,poly__1,0.0"
"918,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt^2,-0.00046742945294585"
"798,poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1^2,0.0007229264931344132"
"645,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.0011921935460383205"
"476,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,-0.001319600171293075"
"697,poly__Dependent_count^2 Total_Relationship_Count^2,-0.0016631515731571882"
"555,poly__Contacts_Count_12_mon Dependent_count^2 Total_Relationship_Count,0.0018869042648376512"
"116,poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Amt,0.0024202381334917427"
"646,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.002565861952248473"
"325,poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.0026011233739114867"
"130,poly__Contacts_Count_12_mon Dependent_count^2,-0.002810025627064061"
"207,poly__Months_Inactive_12_mon^2 Total_Trans_Amt,0.0028417155759063078"
"736,poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,0.0032632398540786167"
"785,poly__Dependent_count Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.004338923544377151"
"582,poly__Contacts_Count_12_mon Dependent_count Total_Revolving_Bal Total_Trans_Amt,-0.005695738509331184"
"480,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.006269699055648919"
"465,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.007109956112100842"
"421,poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Ct^2,0.007389261328198602"
"719,poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.007774750329860194"
"48,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.007843109154218519"
"567,poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.007855770453812146"
"552,poly__Contacts_Count_12_mon Dependent_count^2 Months_Inactive_12_mon,-0.008357032417279022"
"829,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.008770799701418032"
"151,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2,-0.0096978702204096"
"591,poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Revolving_Bal,-0.009860662114917713"
"298,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Months_Inactive_12_mon,0.011332585825635014"
"692,poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1^2,0.011574394616611375"
"781,poly__Dependent_count Total_Revolving_Bal^3,-0.011667418939502865"
"786,poly__Dependent_count Total_Revolving_Bal Total_Trans_Ct^2,0.012161913883283403"
"459,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.012806813642197176"
"251,poly__Total_Ct_Chng_Q4_Q1^3,0.012917833124701265"
"941,poly__Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal Total_Trans_Amt,0.013118965841834165"
"713,poly__Dependent_count Months_Inactive_12_mon^2 Total_Trans_Ct,-0.01351558356690369"
"973,poly__Total_Relationship_Count^2 Total_Trans_Amt^2,0.01396926329666934"
"315,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.013995168044770752"
"727,poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt,0.01405315455901592"
"93,poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2,0.01410099156994247"
"531,poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.014791600543174325"
"1003,remainder__Income_Category,-0.01510637309390237"
"366,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.015442476635176214"
"451,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,0.015502308678790717"
"412,poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count^2,0.01570664373121108"
"378,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt,-0.015733439728184504"
"241,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,-0.015856094531389815"
"324,poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.016099454055642313"
"931,poly__Total_Ct_Chng_Q4_Q1^4,-0.01654775608548235"
"967,poly__Total_Relationship_Count^3 Total_Revolving_Bal,-0.017005636727664242"
"175,poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.0174832610775565"
"932,poly__Total_Ct_Chng_Q4_Q1^3 Total_Relationship_Count,-0.017515358493150775"
"290,poly__Avg_Utilization_Ratio^3 Total_Amt_Chng_Q4_Q1,0.01775921993035768"
"875,poly__Total_Amt_Chng_Q4_Q1^4,-0.01780425348144156"
"561,poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.017858256663378196"
"415,poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count Total_Trans_Ct,-0.018284905314212965"
"643,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.018497565608010323"
"428,poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Trans_Ct,-0.01922263599739681"
"161,poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Amt,-0.021330882139431438"
"521,poly__Contacts_Count_12_mon^2 Dependent_count Total_Trans_Amt,-0.021662145934009624"
"439,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.0218299195076533"
"534,poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.02204667634802783"
"262,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.022279372132163258"
"529,poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Trans_Ct,-0.022768315641820365"
"614,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Ct^2,0.022811209154340286"
"216,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.023038239036602022"
"235,poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,0.02363070177196792"
"296,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon^2,-0.024423961918593383"
"678,poly__Dependent_count^3 Total_Trans_Ct,0.024594365468895017"
"783,poly__Dependent_count Total_Revolving_Bal^2 Total_Trans_Ct,-0.026428339668724554"
"354,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Relationship_Count,-0.026663114010205862"
"449,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Ct^2,0.027666707750900785"
"617,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,0.027866043635221122"
"971,poly__Total_Relationship_Count^2 Total_Revolving_Bal Total_Trans_Amt,0.02799479662046419"
"876,poly__Total_Amt_Chng_Q4_Q1^3 Total_Ct_Chng_Q4_Q1,0.02855011323711359"
"342,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Dependent_count,0.029241115570599913"
"723,poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.029385983503094085"
"977,poly__Total_Relationship_Count Total_Revolving_Bal^2 Total_Trans_Amt,0.02942626177643185"
"599,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.030151685004008864"
"626,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,0.03019618052087164"
"812,poly__Months_Inactive_12_mon^2 Total_Relationship_Count Total_Trans_Ct,-0.03090378015374476"
"139,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.03125581732537955"
"749,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.03126777831191366"
"132,poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1,-0.03152763229862951"
"817,poly__Months_Inactive_12_mon^2 Total_Trans_Amt Total_Trans_Ct,-0.031861413887517315"
"111,poly__Avg_Utilization_Ratio Total_Relationship_Count^2,0.03198506611173775"
"79,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1,-0.03372956132099572"
"566,poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1^2,0.033839444217788034"
"14,poly__Avg_Utilization_Ratio Months_Inactive_12_mon,-0.03440120819667368"
"85,poly__Avg_Utilization_Ratio Dependent_count^2,-0.034517745632429306"
"761,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,-0.03521880711165847"
"484,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,-0.03533819927275638"
"620,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,-0.035874328432108894"
"442,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt,0.03600327473036199"
"896,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^3,-0.037280389141025265"
"663,poly__Contacts_Count_12_mon Total_Revolving_Bal^2 Total_Trans_Ct,-0.0375097188603012"
"536,poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1^2,-0.03751357045062106"
"95,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.03890391333300728"
"673,poly__Dependent_count^3 Total_Amt_Chng_Q4_Q1,0.039038744092918395"
"157,poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal,0.03911843906093881"
"790,poly__Dependent_count Total_Trans_Ct^3,0.03921529208502356"
"524,poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.039541142806175614"
"1004,remainder__Card_Category,-0.0404081063016985"
"78,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon,0.04046305915822389"
"425,poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Relationship_Count,0.040612903315060074"
"223,poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,0.040705825873773235"
"71,poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1,0.041005465238804495"
"238,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.04108762060493039"
"792,poly__Months_Inactive_12_mon^3 Total_Amt_Chng_Q4_Q1,-0.04204001003406386"
"847,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.042349875575533484"
"110,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.04237820216377994"
"810,poly__Months_Inactive_12_mon^2 Total_Relationship_Count Total_Revolving_Bal,-0.04290747127046466"
"18,poly__Avg_Utilization_Ratio Total_Revolving_Bal,-0.04325365866188038"
"778,poly__Dependent_count Total_Relationship_Count Total_Trans_Amt^2,-0.04376570396861914"
"334,poly__Avg_Utilization_Ratio^2 Total_Relationship_Count Total_Trans_Ct,-0.04398309057833706"
"221,poly__Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,-0.04462374227572347"
"413,poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count Total_Revolving_Bal,0.04468986912898281"
"517,poly__Contacts_Count_12_mon^2 Dependent_count Total_Amt_Chng_Q4_Q1,-0.044984654646535546"
"533,poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.04519090282990297"
"750,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,0.04606755213582474"
"23,poly__Contacts_Count_12_mon Months_Inactive_12_mon,-0.04634994714830116"
"890,poly__Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal^2,-0.04642088044790376"
"607,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt,-0.04657172107607328"
"211,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.046624486414703105"
"404,poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.04752974962077684"
"1,poly__Avg_Utilization_Ratio,-0.04756428285884515"
"147,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.04788134464061068"
"960,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,0.047922230085217"
"637,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.04792945549002895"
"102,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.04806078922351802"
"481,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.04826236568727503"
"613,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.04916169093731871"
"551,poly__Contacts_Count_12_mon Dependent_count^3,-0.05255218431430008"
"73,poly__Avg_Utilization_Ratio^2 Total_Revolving_Bal,0.052679419054885566"
"610,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt,0.053657968923451135"
"430,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.05473686273970336"
"152,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.05501762838619914"
"576,poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.05591906649512162"
"304,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Trans_Ct,-0.056749862936754124"
"32,poly__Dependent_count Total_Amt_Chng_Q4_Q1,-0.05714891674637963"
"887,poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count Total_Revolving_Bal,0.05740096168449305"
"15,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1,-0.05747985773363685"
"205,poly__Months_Inactive_12_mon^2 Total_Relationship_Count,-0.057743487382812056"
"974,poly__Total_Relationship_Count^2 Total_Trans_Amt Total_Trans_Ct,-0.05812041478866845"
"184,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.05875395609678115"
"36,poly__Dependent_count Total_Trans_Amt,-0.05881581030182808"
"834,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.05906165085639563"
"522,poly__Contacts_Count_12_mon^2 Dependent_count Total_Trans_Ct,0.05965436062625749"
"840,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^3,0.06026922851991849"
"169,poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1,0.06038438756943282"
"639,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,-0.060472876518418144"
"340,poly__Avg_Utilization_Ratio^2 Total_Trans_Ct^2,-0.06158888194365839"
"411,poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.0627324815148766"
"743,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.06280169160166088"
"136,poly__Contacts_Count_12_mon Dependent_count Total_Trans_Amt,0.0631171033313247"
"380,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Revolving_Bal^2,0.06344854070608953"
"133,poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1,0.06376270536599432"
"387,poly__Avg_Utilization_Ratio Dependent_count^2 Months_Inactive_12_mon,-0.06428977069615696"
"316,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Relationship_Count,-0.0645295539377446"
"952,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,0.0647899889881714"
"553,poly__Contacts_Count_12_mon Dependent_count^2 Total_Amt_Chng_Q4_Q1,-0.06498128208696848"
"96,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count,-0.06513264732797781"
"337,poly__Avg_Utilization_Ratio^2 Total_Revolving_Bal Total_Trans_Ct,0.06525700565182137"
"301,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Relationship_Count,0.06630790311408874"
"549,poly__Contacts_Count_12_mon^2 Total_Trans_Amt Total_Trans_Ct,0.0663902879783371"
"419,poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Amt^2,-0.06758565954508008"
"846,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,-0.06760626726669741"
"545,poly__Contacts_Count_12_mon^2 Total_Revolving_Bal^2,0.06806832575495524"
"570,poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.06811668004845257"
"543,poly__Contacts_Count_12_mon^2 Total_Relationship_Count Total_Trans_Amt,-0.06821210630465466"
"677,poly__Dependent_count^3 Total_Trans_Amt,-0.06830461381630819"
"513,poly__Contacts_Count_12_mon^3 Total_Trans_Amt,0.06851570291168188"
"585,poly__Contacts_Count_12_mon Dependent_count Total_Trans_Amt Total_Trans_Ct,-0.06875044332103489"
"81,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count,0.06888187685401143"
"756,poly__Dependent_count Total_Ct_Chng_Q4_Q1^3,0.06944009634170538"
"542,poly__Contacts_Count_12_mon^2 Total_Relationship_Count Total_Revolving_Bal,-0.06956568418826661"
"744,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.06993077369770336"
"236,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.07078813936841678"
"895,poly__Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct^2,0.07121869371975098"
