features,Coefficients
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^3,-1.776424424
poly__Total_Trans_Amt^4,-1.623713311
poly__Total_Trans_Ct^4,1.620720113
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^3,-1.534304608
poly__Total_Trans_Ct,-1.343575329
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,-1.174909784
poly__Avg_Utilization_Ratio Total_Revolving_Bal^2,1.113705666
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,1.056254414
poly__Contacts_Count_12_mon Total_Trans_Amt^3,-1.032165796
poly__Total_Trans_Amt^3,-1.025800868
poly__Avg_Utilization_Ratio^2 Total_Trans_Amt Total_Trans_Ct,-0.989460145
poly__Total_Relationship_Count Total_Trans_Amt,0.979608482
poly__Total_Trans_Amt^3 Total_Trans_Ct,-0.971335865
poly__Total_Revolving_Bal,-0.927564201
poly__Total_Revolving_Bal^3,0.899196033
poly__Total_Revolving_Bal Total_Trans_Amt^3,0.89351215
poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.887952597
poly__Contacts_Count_12_mon Total_Trans_Ct,-0.85885722
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.858192053
poly__Contacts_Count_12_mon Total_Trans_Ct^3,-0.853124272
poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count Total_Trans_Amt,-0.836032186
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,-0.826066147
poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Amt Total_Trans_Ct,-0.81467159
poly__Contacts_Count_12_mon^4,0.805546999
poly__Dependent_count Total_Trans_Amt^3,-0.802412199
poly__Contacts_Count_12_mon^2 Total_Relationship_Count,-0.80050493
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.798862568
poly__Contacts_Count_12_mon,0.798144023
poly__Contacts_Count_12_mon Total_Trans_Amt^2,0.796798918
poly__Avg_Utilization_Ratio Total_Trans_Ct^3,-0.790602066
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.789998182
poly__Months_Inactive_12_mon^3 Total_Relationship_Count,-0.789792029
poly__Total_Relationship_Count Total_Trans_Amt^3,-0.77236686
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.771851461
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Ct^2,-0.764721855
poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count Total_Trans_Amt,0.761437014
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2 Total_Trans_Ct,-0.757485315
poly__Total_Relationship_Count Total_Trans_Ct^2,-0.751496356
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,0.74994612
poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Ct,-0.74585535
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.73579591
poly__Months_Inactive_12_mon Total_Relationship_Count^2 Total_Trans_Ct,-0.734816285
poly__Dependent_count Total_Relationship_Count Total_Trans_Ct^2,0.732033067
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^3,-0.727420911
poly__Dependent_count Total_Trans_Ct,-0.721483139
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.716951739
poly__Months_Inactive_12_mon Total_Trans_Amt^3,-0.716605343
poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.71591223
poly__Total_Relationship_Count^3 Total_Trans_Ct,-0.712435026
poly__Months_Inactive_12_mon Total_Trans_Ct,-0.710467286
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.710443602
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.707739185
poly__Months_Inactive_12_mon^2 Total_Trans_Ct,-0.704763353
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.701737375
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,0.697932763
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.686805066
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.685115325
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt,0.683923644
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.67672266
poly__Months_Inactive_12_mon Total_Trans_Ct^2,-0.667286383
poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.66671349
poly__Contacts_Count_12_mon Total_Revolving_Bal,-0.661209559
poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.654683203
poly__Contacts_Count_12_mon Dependent_count^2 Total_Trans_Amt,-0.6537202
poly__Total_Amt_Chng_Q4_Q1^3,-0.649125711
poly__Contacts_Count_12_mon^2,-0.645003295
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Trans_Amt,0.644821716
poly__Total_Amt_Chng_Q4_Q1^3 Total_Relationship_Count,-0.641071503
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.637852703
poly__Total_Trans_Amt^2,0.636603467
poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Trans_Ct,-0.633484992
poly__Total_Relationship_Count,-0.632323653
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,0.6317475
poly__Dependent_count^2,-0.628244794
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct^2,-0.626626943
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.626586641
poly__Avg_Utilization_Ratio Total_Trans_Ct,-0.620417831
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.619911918
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.61675799
poly__Dependent_count Months_Inactive_12_mon,0.612512023
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.612443774
poly__Contacts_Count_12_mon Total_Trans_Amt Total_Trans_Ct,0.604154517
poly__Contacts_Count_12_mon Total_Revolving_Bal^2,0.603326115
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,-0.603318363
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^3,0.603247746
poly__Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct^2,0.601610263
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,-0.597309465
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,-0.593482471
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Relationship_Count,0.592423516
poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count Total_Trans_Amt,0.588388521
poly__Total_Relationship_Count Total_Revolving_Bal,-0.585085766
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.584902451
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,0.583661662
poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct,0.583559859
poly__Dependent_count Total_Amt_Chng_Q4_Q1^3,-0.581402638
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^3,-0.581145559
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.579906968
poly__Avg_Utilization_Ratio^3 Total_Ct_Chng_Q4_Q1,-0.579454939
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2 Total_Trans_Ct,-0.578900795
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.578176178
poly__Avg_Utilization_Ratio^3 Total_Trans_Ct,-0.574761916
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct^2,0.571297041
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.568121327
poly__Total_Trans_Ct^2,-0.565442019
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.565255893
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,0.563198477
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,-0.561887465
poly__Total_Relationship_Count^2 Total_Trans_Amt,0.561778071
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Revolving_Bal,-0.560334244
poly__Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct^2,0.557236448
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.555670529
poly__Contacts_Count_12_mon^2 Total_Trans_Ct^2,-0.552232965
poly__Contacts_Count_12_mon Total_Trans_Amt^2 Total_Trans_Ct,-0.551524496
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.550319373
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.549307179
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.54871236
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.544594027
poly__Avg_Utilization_Ratio Total_Relationship_Count^2 Total_Trans_Ct,-0.539473889
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.532122164
poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.529211511
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Amt^2,-0.527034494
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.526952867
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt^2,0.526597935
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1,0.523965002
poly__Avg_Utilization_Ratio^2 Total_Revolving_Bal^2,-0.523644156
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^3,-0.523061999
